Param Name,Description,Param Type,Default Value,Enum Values
Video Source,,enum,1,"HDMI, SDI, Test Pattern"
Audio Source,,enum,1,"HDMI, SDI, Analog, None"
Audio Input Level,,enum,1,"0dB, +6dB, +12dB"
Audio Delay,,integer,0,
Closed Captioning Source,,enum,0,"None, Auto, Ancillary data, Line 21"
A/V Mute,,enum,0,"Off, On"
Media State,,enum,0,"Record-Stream, Data-LAN"
Media State Debounced,,enum,0,"Record-Stream, Data - LAN"
Stream URL,,string,,
Streaming Duration,,string,00:00:00:00,
Streaming Format,,string,,
Recording Duration,,string,00:00:00:00,
Recording Format,,string,,
Recording Filename,,string,,
File Duration,,string,00:00:00:00,
Encode Type,,enum,18,H.264
Playlist,,string,,
Dropped Frames Record Behavior,,enum,0,"Continue, Stop"
Dropped Frames Stream Behavior,,enum,0,"Continue, Stop"
Loss of Video Behavior,,enum,2,"Stop, Record Test Pattern"
SDI 2K Input Processing,,enum,0,"Center cut, Downscale"
Front Panel Button Lock,,enum,0,"Off, On"
Auto-recover Streaming,,enum,1,"Off, On"
Power Up State,,enum,0,"Idle, Record, Stream, Record and Stream"
RTP/UDP Traffic Shaping,,enum,0,"Disable, Enable"
Pcap Stream Diagnostic,,enum,0,"Off, On"
Video Test Pattern Format,,enum,6,"525i 29.97, 625i 25, 720p 50, 720p 59.94, 720p 60, 1080i 25, 1080i 29.97, 1080i 30, 1080p 23.98, 1080p 24, 1080p 25, 1080p 29.97, 1080p 30, 1080p 50, 1080p 59.94, 1080p 60"
Video Test Pattern Type,,enum,3,"100% Bars, Black, Custom"
System Name,,string,aja-helo-1HE010186,
User Authentication,,enum,0,"Disabled, Login"
Time Source,,enum,0,"Manual, Automatic"
NTP Server,,string,ntp.aja.com,
Date Set,,string,,
Time Set,,string,,
Time Zone,,enum,0,"Grass Valley, Los Angeles, Denver, Mexico City, Dallas, Chicago, Detroit, Washington, D.C., New York, Montreal, Boston, Caracas, Buenos Aires, Rio De Janeiro, Azores, Lisbon, London (GMT), Madrid, Paris, Amsterdam, Rome, Berlin, Vienna, Athens, Helsinki, Cairo, Tel Aviv, Beirut, Kuwait, Jeddah, Moscow, Tehran, Abu Dhabi, Kabul, New Delhi, Colombo, Dhaka, Bangkok, Hanoi, Singapore, Jakarta, Hong Kong, Beijing, Manila, Taipei, Seoul, Tokyo, Guam, Sydney, Auckland, Honolulu, Anchorage, Seattle"
Daylight Savings,,enum,0,"On, Off"
Scheduler,,enum,0,"Disabled, Enabled"
Scheduler Activity,,enum,3,"Record, Stream, Record and Stream"
Schedule Source,,enum,1,"Local, Remote"
Remote Calendar URL,,string,,
Last Sync,,string,Never,
Import/Export Local Calendar File,,data,Ch4vbW50L2NvbmZpZy9sb2NhbF9zY2hlZHVsZS5pY3MSHGFqYS1oZWxvLTFIRTAxMDE4Ni1sb2NhbC5pY3M=,
Force sync with remote calendar,,integer,1,
"Updated ICS file is available, perform refresh.",,integer,1,
"Updated journal results file is available, perform refresh.",,integer,1,
Remove scheduled event history,,integer,1,
Current Event,,string,,
Next Event,,string,,
Remove local calendar,,integer,1,
Serial Number,,string,1HE010186,
Safeboot Alarm,,enum,0,"NORMAL BOOT, SAFEBOOT MODE"
Flash Versions,,string,Bootloader Version: 2.0.1.7-18040Md<br/>Safeboot Image Version: 3.1.0.2-3r<br/>Image Version in Flash: 4.3.0.8-12r<br/>Currently Running Image Version: 4.3.0.8-12r<br/>Bitfile Version: 2018-05-22 08:40:26 AM<br/>,
Recording Profile,,enum,0,", , , , , , , , , "
Recording Profile Name,,string,Recording Profile Name,
Recording Profile Name,,string,Recording Profile Name 1,
Recording Profile Name,,string,Recording Profile Name 2,
Recording Profile Name,,string,Recording Profile Name 3,
Recording Profile Name,,string,Recording Profile Name 4,
Recording Profile Name,,string,Recording Profile Name 5,
Recording Profile Name,,string,Recording Profile Name 6,
Recording Profile Name,,string,Recording Profile Name 7,
Recording Profile Name,,string,Recording Profile Name 8,
Recording Profile Name,,string,Recording Profile Name 9,
Recording Profile Name,,string,Recording Profile Name 10,
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Recording Media Type,,enum,0,"SD, USB, SMB Network Share, NFS Network Share"
Recording Media Type,,enum,0,"SD, USB, SMB Network Share, NFS Network Share"
Recording Media Type,,enum,0,"SD, USB, SMB Network Share, NFS Network Share"
Recording Media Type,,enum,0,"SD, USB, SMB Network Share, NFS Network Share"
Recording Media Type,,enum,0,"SD, USB, SMB Network Share, NFS Network Share"
Recording Media Type,,enum,0,"SD, USB, SMB Network Share, NFS Network Share"
Recording Media Type,,enum,0,"SD, USB, SMB Network Share, NFS Network Share"
Recording Media Type,,enum,0,"SD, USB, SMB Network Share, NFS Network Share"
Recording Media Type,,enum,0,"SD, USB, SMB Network Share, NFS Network Share"
Recording Media Type,,enum,0,"SD, USB, SMB Network Share, NFS Network Share"
Recording Media Type,,enum,0,"SD, USB, SMB Network Share, NFS Network Share"
SD Card Record Path,,string,,
SD Card Record Path,,string,,
SD Card Record Path,,string,,
SD Card Record Path,,string,,
SD Card Record Path,,string,,
SD Card Record Path,,string,,
SD Card Record Path,,string,,
SD Card Record Path,,string,,
SD Card Record Path,,string,,
SD Card Record Path,,string,,
SD Card Record Path,,string,,
USB Record Path,,string,,
USB Record Path,,string,,
USB Record Path,,string,,
USB Record Path,,string,,
USB Record Path,,string,,
USB Record Path,,string,,
USB Record Path,,string,,
USB Record Path,,string,,
USB Record Path,,string,,
USB Record Path,,string,,
USB Record Path,,string,,
SMB Server Address,,string,,
SMB Server Address,,string,,
SMB Server Address,,string,,
SMB Server Address,,string,,
SMB Server Address,,string,,
SMB Server Address,,string,,
SMB Server Address,,string,,
SMB Server Address,,string,,
SMB Server Address,,string,,
SMB Server Address,,string,,
SMB Server Address,,string,,
SMB Network Record Path,,string,,
SMB Network Record Path,,string,,
SMB Network Record Path,,string,,
SMB Network Record Path,,string,,
SMB Network Record Path,,string,,
SMB Network Record Path,,string,,
SMB Network Record Path,,string,,
SMB Network Record Path,,string,,
SMB Network Record Path,,string,,
SMB Network Record Path,,string,,
SMB Network Record Path,,string,,
SMB Dialect,,enum,2,"Auto, SMB 3.0, SMB 2.1, SMB 2.0, SMB 1.0"
SMB Dialect,,enum,2,"Auto, SMB 3.0, SMB 2.1, SMB 2.0, SMB 1.0"
SMB Dialect,,enum,2,"Auto, SMB 3.0, SMB 2.1, SMB 2.0, SMB 1.0"
SMB Dialect,,enum,2,"Auto, SMB 3.0, SMB 2.1, SMB 2.0, SMB 1.0"
SMB Dialect,,enum,2,"Auto, SMB 3.0, SMB 2.1, SMB 2.0, SMB 1.0"
SMB Dialect,,enum,2,"Auto, SMB 3.0, SMB 2.1, SMB 2.0, SMB 1.0"
SMB Dialect,,enum,2,"Auto, SMB 3.0, SMB 2.1, SMB 2.0, SMB 1.0"
SMB Dialect,,enum,2,"Auto, SMB 3.0, SMB 2.1, SMB 2.0, SMB 1.0"
SMB Dialect,,enum,2,"Auto, SMB 3.0, SMB 2.1, SMB 2.0, SMB 1.0"
SMB Dialect,,enum,2,"Auto, SMB 3.0, SMB 2.1, SMB 2.0, SMB 1.0"
SMB Dialect,,enum,2,"Auto, SMB 3.0, SMB 2.1, SMB 2.0, SMB 1.0"
Domain,,string,,
Domain,,string,,
Domain,,string,,
Domain,,string,,
Domain,,string,,
Domain,,string,,
Domain,,string,,
Domain,,string,,
Domain,,string,,
Domain,,string,,
Domain,,string,,
Domain Username,,string,,
Domain Username,,string,,
Domain Username,,string,,
Domain Username,,string,,
Domain Username,,string,,
Domain Username,,string,,
Domain Username,,string,,
Domain Username,,string,,
Domain Username,,string,,
Domain Username,,string,,
Domain Username,,string,,
Domain Password,,string,,
Domain Password,,string,,
Domain Password,,string,,
Domain Password,,string,,
Domain Password,,string,,
Domain Password,,string,,
Domain Password,,string,,
Domain Password,,string,,
Domain Password,,string,,
Domain Password,,string,,
Domain Password,,string,,
NFS Server Address,,string,,
NFS Server Address,,string,,
NFS Server Address,,string,,
NFS Server Address,,string,,
NFS Server Address,,string,,
NFS Server Address,,string,,
NFS Server Address,,string,,
NFS Server Address,,string,,
NFS Server Address,,string,,
NFS Server Address,,string,,
NFS Server Address,,string,,
NFS Network Record Path,,string,,
NFS Network Record Path,,string,,
NFS Network Record Path,,string,,
NFS Network Record Path,,string,,
NFS Network Record Path,,string,,
NFS Network Record Path,,string,,
NFS Network Record Path,,string,,
NFS Network Record Path,,string,,
NFS Network Record Path,,string,,
NFS Network Record Path,,string,,
NFS Network Record Path,,string,,
Secondary Recording Media Type,,enum,4,"None, SD, USB"
Secondary Recording Media Type,,enum,4,"None, SD, USB"
Secondary Recording Media Type,,enum,4,"None, SD, USB"
Secondary Recording Media Type,,enum,4,"None, SD, USB"
Secondary Recording Media Type,,enum,4,"None, SD, USB"
Secondary Recording Media Type,,enum,4,"None, SD, USB"
Secondary Recording Media Type,,enum,4,"None, SD, USB"
Secondary Recording Media Type,,enum,4,"None, SD, USB"
Secondary Recording Media Type,,enum,4,"None, SD, USB"
Secondary Recording Media Type,,enum,4,"None, SD, USB"
Secondary Recording Media Type,,enum,4,"None, SD, USB"
Secondary SD Card Record Path,,string,,
Secondary SD Card Record Path,,string,,
Secondary SD Card Record Path,,string,,
Secondary SD Card Record Path,,string,,
Secondary SD Card Record Path,,string,,
Secondary SD Card Record Path,,string,,
Secondary SD Card Record Path,,string,,
Secondary SD Card Record Path,,string,,
Secondary SD Card Record Path,,string,,
Secondary SD Card Record Path,,string,,
Secondary SD Card Record Path,,string,,
Secondary USB Record Path,,string,,
Secondary USB Record Path,,string,,
Secondary USB Record Path,,string,,
Secondary USB Record Path,,string,,
Secondary USB Record Path,,string,,
Secondary USB Record Path,,string,,
Secondary USB Record Path,,string,,
Secondary USB Record Path,,string,,
Secondary USB Record Path,,string,,
Secondary USB Record Path,,string,,
Secondary USB Record Path,,string,,
Dropped Frames Record Behavior,,enum,0,"Continue, Stop"
Dropped Frames Record Behavior,,enum,0,"Continue, Stop"
Dropped Frames Record Behavior,,enum,0,"Continue, Stop"
Dropped Frames Record Behavior,,enum,0,"Continue, Stop"
Dropped Frames Record Behavior,,enum,0,"Continue, Stop"
Dropped Frames Record Behavior,,enum,0,"Continue, Stop"
Dropped Frames Record Behavior,,enum,0,"Continue, Stop"
Dropped Frames Record Behavior,,enum,0,"Continue, Stop"
